Reference,DOI,Group,Phylum,Order,Family,Species,Light,Water,Series,Day,Mean,SEM,N,Response,Method,Unit,Source
Barua 1960,10.1017/s0021859600023327,Terrestrial,Streptophyta,Ericales,Theaceae,Camellia sinensis,Yes,Yes,1,1.020833333,17.14,NA,1,Photosynthesis,Gas exchange,mg CO2 dm–2 h–1,Table 2
Barua 1960,10.1017/s0021859600023327,Terrestrial,Streptophyta,Ericales,Theaceae,Camellia sinensis,Yes,Yes,1,2.0625,15.36,NA,1,Photosynthesis,Gas exchange,mg CO2 dm–2 h–1,Table 2
Barua 1960,10.1017/s0021859600023327,Terrestrial,Streptophyta,Ericales,Theaceae,Camellia sinensis,Yes,Yes,1,3.041666667,11.56,NA,1,Photosynthesis,Gas exchange,mg CO2 dm–2 h–1,Table 2
Barua 1960,10.1017/s0021859600023327,Terrestrial,Streptophyta,Ericales,Theaceae,Camellia sinensis,Yes,Yes,1,4.041666667,7.7,NA,1,Photosynthesis,Gas exchange,mg CO2 dm–2 h–1,Table 2
Barua 1960,10.1017/s0021859600023327,Terrestrial,Streptophyta,Ericales,Theaceae,Camellia sinensis,Yes,Yes,2,0.041666667,13.48,NA,1,Photosynthesis,Gas exchange,mg CO2 dm–2 h–1,Table 2
Barua 1960,10.1017/s0021859600023327,Terrestrial,Streptophyta,Ericales,Theaceae,Camellia sinensis,Yes,Yes,2,0.770833333,17.7,NA,1,Photosynthesis,Gas exchange,mg CO2 dm–2 h–1,Table 2
Barua 1960,10.1017/s0021859600023327,Terrestrial,Streptophyta,Ericales,Theaceae,Camellia sinensis,Yes,Yes,2,1.8125,9.1,NA,1,Photosynthesis,Gas exchange,mg CO2 dm–2 h–1,Table 2
Barua 1960,10.1017/s0021859600023327,Terrestrial,Streptophyta,Ericales,Theaceae,Camellia sinensis,Yes,Yes,2,2.791666667,11.66,NA,1,Photosynthesis,Gas exchange,mg CO2 dm–2 h–1,Table 2
Barua 1960,10.1017/s0021859600023327,Terrestrial,Streptophyta,Ericales,Theaceae,Camellia sinensis,Yes,Yes,2,3.791666667,8.86,NA,1,Photosynthesis,Gas exchange,mg CO2 dm–2 h–1,Table 2
Shaw et al. 1965,10.1139/b65-083,Terrestrial,Streptophyta,Poales,Poaceae,Triticum aestivum,Yes,Yes,1,0,0.505,NA,1,Chlorophyll,Chlorophyll,Absorbance at 665 nm,Table 2
Shaw et al. 1965,10.1139/b65-083,Terrestrial,Streptophyta,Poales,Poaceae,Triticum aestivum,Yes,Yes,1,1,0.543,NA,1,Chlorophyll,Chlorophyll,Absorbance at 665 nm,Table 2
Shaw et al. 1965,10.1139/b65-083,Terrestrial,Streptophyta,Poales,Poaceae,Triticum aestivum,Yes,Yes,1,2,0.48,NA,1,Chlorophyll,Chlorophyll,Absorbance at 665 nm,Table 2
Shaw et al. 1965,10.1139/b65-083,Terrestrial,Streptophyta,Poales,Poaceae,Triticum aestivum,Yes,Yes,1,3,0.352,NA,1,Chlorophyll,Chlorophyll,Absorbance at 665 nm,Table 2
Shaw et al. 1965,10.1139/b65-083,Terrestrial,Streptophyta,Poales,Poaceae,Triticum aestivum,Yes,Yes,1,4,0.275,NA,1,Chlorophyll,Chlorophyll,Absorbance at 665 nm,Table 2
Shaw et al. 1965,10.1139/b65-083,Terrestrial,Streptophyta,Poales,Poaceae,Triticum aestivum,Yes,Yes,1,5,0.187,NA,1,Chlorophyll,Chlorophyll,Absorbance at 665 nm,Table 2
Shaw et al. 1965,10.1139/b65-083,Terrestrial,Streptophyta,Poales,Poaceae,Triticum aestivum,Yes,Yes,1,6,0.138,NA,1,Chlorophyll,Chlorophyll,Absorbance at 665 nm,Table 2
Shaw et al. 1965,10.1139/b65-083,Terrestrial,Streptophyta,Poales,Poaceae,Triticum turgidum,Yes,Yes,2,0,0.504,NA,1,Chlorophyll,Chlorophyll,Absorbance at 665 nm,Table 2
Shaw et al. 1965,10.1139/b65-083,Terrestrial,Streptophyta,Poales,Poaceae,Triticum turgidum,Yes,Yes,2,1,0.5,NA,1,Chlorophyll,Chlorophyll,Absorbance at 665 nm,Table 2
Shaw et al. 1965,10.1139/b65-083,Terrestrial,Streptophyta,Poales,Poaceae,Triticum turgidum,Yes,Yes,2,2,0.463,NA,1,Chlorophyll,Chlorophyll,Absorbance at 665 nm,Table 2
Shaw et al. 1965,10.1139/b65-083,Terrestrial,Streptophyta,Poales,Poaceae,Triticum turgidum,Yes,Yes,2,3,0.362,NA,1,Chlorophyll,Chlorophyll,Absorbance at 665 nm,Table 2
Shaw et al. 1965,10.1139/b65-083,Terrestrial,Streptophyta,Poales,Poaceae,Triticum turgidum,Yes,Yes,2,4,0.236,NA,1,Chlorophyll,Chlorophyll,Absorbance at 665 nm,Table 2
Shaw et al. 1965,10.1139/b65-083,Terrestrial,Streptophyta,Poales,Poaceae,Triticum turgidum,Yes,Yes,2,5,0.215,NA,1,Chlorophyll,Chlorophyll,Absorbance at 665 nm,Table 2
Shaw et al. 1965,10.1139/b65-083,Terrestrial,Streptophyta,Poales,Poaceae,Triticum turgidum,Yes,Yes,2,6,0.174,NA,1,Chlorophyll,Chlorophyll,Absorbance at 665 nm,Table 2
Srivastava & Ware 1965,10.1104/pp.40.1.62,Terrestrial,Streptophyta,Poales,Poaceae,Hordeum vulgare,No,Yes,1,0,3.496551724,NA,1,Chlorophyll,Chlorophyll,mg g–1 fresh mass,Figure 1
Srivastava & Ware 1965,10.1104/pp.40.1.62,Terrestrial,Streptophyta,Poales,Poaceae,Hordeum vulgare,No,Yes,1,1,2.986206897,NA,1,Chlorophyll,Chlorophyll,mg g–1 fresh mass,Figure 1
Srivastava & Ware 1965,10.1104/pp.40.1.62,Terrestrial,Streptophyta,Poales,Poaceae,Hordeum vulgare,No,Yes,1,2,2.275862069,NA,1,Chlorophyll,Chlorophyll,mg g–1 fresh mass,Figure 1
Srivastava & Ware 1965,10.1104/pp.40.1.62,Terrestrial,Streptophyta,Poales,Poaceae,Hordeum vulgare,No,Yes,1,3,1.965517241,NA,1,Chlorophyll,Chlorophyll,mg g–1 fresh mass,Figure 1
