Reference,Ecosystem,Community,Biome,Plant,Net primary production (g C m^-2 y^-1),Leaf production (g C m^-2 y^-1),Plant biomass (g C m^-2),Detrital production (g C m^-2 y^-1),Detrital leaf production (g C m^-2 y^-1),Detrital biomass (g C m^-2),Herbivory (g C m^-2 y^-1),Herbivore biomass (g C m^-2),Decomposition (g C m^-2 y^-1),Total consumption (g C m^-2 y^-1),Accumulation (g C m^-2 y^-1),Export (g C m^-2 y^-1),k (d^-1),Detrital nitrogen (%),Detrital phosphorus (%),Plant nitrogen (%),Plant phosphorus (%)
Baillie and Welsh 1980,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,128.9472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.25,NA,NA,NA,NA,NA
Baird and Ulanowicz 1989,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,337.1797,NA,3.5,186.515,NA,0.5143,73,1.062,110.976644,183.976644,NA,27.01,NA,NA,NA,7.04,0.79
Baird and Ulanowicz 1989,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,56.4144,NA,0.177,31.65645,NA,0.8188,17.885,0.1127,6.19332,24.07832,NA,NA,NA,NA,NA,7.04,1.02
Baird and Ulanowicz 1993,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,120.2529,NA,3.73,25.3529,NA,0.1105,94.9,8.7189,35.045256,129.945256,NA,NA,NA,NA,NA,5.49,0.81
Baird and Ulanowicz 1993,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,103.7476,NA,0.75,84.0376,NA,0.2138,19.71,1.7398,30.664599,50.374599,NA,27.01,NA,NA,NA,7.25,0.81
Baird and Ulanowicz 1993,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,37.7264,NA,2.65,19.8414,NA,0.1367,17.885,1.8045,10.557383,28.442383,NA,0.17885,NA,NA,NA,5.3,0.46
Baird and Ulanowicz 1993,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,11.55371,NA,0.413,3.88871,NA,0.1511,7.665,0.0841,3.796569,11.461569,NA,NA,NA,NA,NA,5.98,0.81
Baird and Ulanowicz 1993,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.375588,NA,NA,NA,NA,NA,5.49,0.81
Baird and Ulanowicz 1993,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,526.5344,NA,318.34,358.6344,NA,2.4466,167.9,15.9716,16.2206,184.1206,211.7,NA,NA,NA,NA,4.05,0.46
Baird and Ulanowicz 1993,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,513.1024,NA,96.5,482.0774,NA,1.9489,31.025,0.8823,23.5936,54.6186,0.3504,98.55,NA,NA,NA,7.25,0.46
Baird and Ulanowicz 1993,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,80.592,NA,0.413,14.892,NA,NA,65.7,NA,7.66792,73.36792,0.04015,NA,NA,NA,NA,NA,NA
Baird and Ulanowicz 1993,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,34.9232,NA,0.895,NA,NA,0.074,34.9232,0.0814,1.430362,36.353562,0.0438,NA,NA,NA,NA,5.3,0.81
Baird and Ulanowicz 1993,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.5078,NA,NA,NA,NA,NA,4.05,0.459
Baird and Ulanowicz 1993,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,665.44245,NA,162.1,NA,NA,3.1372,NA,9.4015,215.5836,NA,365,NA,NA,NA,NA,5.98,0.46
Bak 1994,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1078.5604,NA,NA,585.8104,NA,NA,492.75,NA,NA,NA,NA,124.1,NA,NA,NA,NA,NA
Bak 1994,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1018.98875,NA,NA,478.78875,NA,NA,540.2,NA,NA,NA,NA,306.6,NA,NA,NA,NA,NA
Bak 1994,aquatic,marine macroalgal beds,Macroalgal forest,Algae,837.13845,NA,NA,384.53845,NA,NA,452.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bak 1994,aquatic,marine macroalgal beds,Macroalgal forest,Algae,683.5063,NA,NA,409.7563,NA,NA,273.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
