Reference,Ecosystem,Community,Biome,Plant,Net primary production (g C m^-2 y^-1),Leaf production (g C m^-2 y^-1),Plant biomass (g C m^-2),Detrital production (g C m^-2 y^-1),Detrital leaf production (g C m^-2 y^-1),Detrital biomass (g C m^-2),Herbivory (g C m^-2 y^-1),Herbivore biomass (g C m^-2),Decomposition (g C m^-2 y^-1),Total consumption (g C m^-2 y^-1),Accumulation (g C m^-2 y^-1),Export (g C m^-2 y^-1),k (d^-1),Detrital nitrogen (%),Detrital phosphorus (%),Plant nitrogen (%),Plant phosphorus (%)
Frangi and Lugo 1985,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,876,112.42,9999,874.88675,111.325,98,1.11325,1.31,638.75,639.86325,224.986,11.972,0.003163,NA,0.0334,NA,0.0334
Frank and McNaughton 1992,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,120.9975,NA,NA,66.5395,NA,NA,54.458,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA
Frankignoulle et al. 1984,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,187.20485,NA,NA,NA,NA,NA,NA,NA,55.407,NA,NA,NA,NA,NA,NA,NA,NA
Frost 1991,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,200.4215,NA,1.01,39.8215,NA,NA,160.6,NA,NA,NA,0.06935,NA,NA,NA,NA,NA,NA
Fry and Virsntein 1988,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,262.71605,NA,26.54,NA,NA,NA,NA,NA,NA,NA,NA,124.1,NA,NA,NA,NA,NA
Gabrielson et al. 1983,aquatic,marine macroalgal beds,Macroalgal forest,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0076,3.21,0.313,NA,NA
Gabrielson et al. 1983,aquatic,marine macroalgal beds,Macroalgal forest,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0038,3.44,0.291,NA,NA
Gabrielson et al. 1983,aquatic,marine macroalgal beds,Macroalgal forest,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0082,3.92,0.335,NA,NA
Gabrielson et al. 1983,aquatic,marine macroalgal beds,Macroalgal forest,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0035,2.73,0.278,NA,NA
Gallagher et al. 1980,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,959.95,NA,280.085197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94,0.15
Gandar 1982,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,30.66,NA,8.65,17.52,NA,NA,12.994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gandar 1982,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,17.52,NA,6.4,13.1692,NA,NA,4.3362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garber 1984,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,308,NA,NA,215.49,NA,NA,NA,NA,155.89,NA,NA,NA,0.0449,3.3,0.69,NA,NA
Garber 1984,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0294,2.4,0.26,NA,NA
Garnier and Mourelatos 1991,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,169.36,NA,1.408,36.865,NA,NA,113.15,0.534402966,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gathuso et al. 1993,aquatic,marine macroalgal beds,Macroalgal forest,Algae,7493.4865,NA,NA,NA,NA,NA,NA,NA,7205.611,NA,NA,NA,NA,NA,NA,NA,NA
Gathuso et al. 1993,aquatic,marine macroalgal beds,Macroalgal forest,Algae,2523.95675,NA,NA,NA,NA,NA,NA,NA,2426.9945,NA,NA,NA,NA,NA,NA,NA,NA
Gathuso et al. 1993,aquatic,marine macroalgal beds,Macroalgal forest,Algae,2409,NA,NA,NA,NA,NA,NA,NA,2401.7,NA,7.3,NA,NA,NA,NA,NA,NA
Gathuso et al. 1993,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1943.917,NA,NA,NA,NA,NA,NA,NA,1567.748,NA,NA,NA,NA,NA,NA,NA,NA
Geertz-Hansen et al. 1993; Pedersen and Borum 1996,aquatic,marine macroalgal beds,Macroalgal forest,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.16,0.278
Gerard 1976,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1299.546,NA,NA,1168.146,NA,NA,131.4,NA,642.4,773.8,6.57,518.3,NA,NA,NA,2.42,0.31
Gliwicz and Hillbricht-Ilkowska 1972,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,190.895,NA,0.361,31.7915,NA,NA,158.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gliwicz and Hillbricht-Ilkowska 1972,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,123.005,NA,0.107,94.535,NA,NA,28.2145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gliwicz and Hillbricht-Ilkowska 1972,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,121.545,NA,0.14,72.27,NA,NA,48.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Godshalk and Wetzel 1978a,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,1.8,NA,NA,NA
Godshalk and Wetzel 1978a,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,2,NA,NA,NA
Godshalk and Wetzel 1978a,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.034,2,NA,NA,NA
Godshalk and Wetzel 1978a,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028,1.8,NA,NA,NA
Godshalk and Wetzel 1978a,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,2.4,NA,NA,NA
Godshalk and Wetzel 1978a,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,2.4,NA,NA,NA
Godshalk and Wetzel 1978a,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,1.2,NA,NA,NA
Godshalk and Wetzel 1978a,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,1.5,NA,NA,NA
Godshalk and Wetzel 1978a,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1.5,NA,NA,NA
Godshalk and Wetzel 1978a,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,1.2,NA,NA,NA
Godshalk and Wetzel 1978b,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,1.93,NA,NA,NA
Godshalk and Wetzel 1978b,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,1.93,NA,NA,NA
Golley 1960,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,575.5758,NA,NA,573.15742,NA,NA,2.418381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Golley et al. 1962,terrestrial,mangroves,Mangrove forest,Marine angiosperms,1438.89205,NA,1842.2,1402.39205,NA,NA,36.5,1,540.2,576.7,43.8,416.1,NA,NA,NA,NA,NA
Golterman 1972,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0233,8,NA,NA,NA
Gosz et al.1978,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,468.952,441.65,7156.31,368.65,329.96,3230.31,31.4265,NA,331.87625,363.30275,15.0015,4.4165,3.13E-04,0.32,0.0619,0.32,0.0619
Gould and Gallagher 1990,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,1058.4416,NA,17.61,715.3416,NA,NA,343.1,NA,NA,NA,21.9,277.4,NA,NA,NA,NA,NA
Graneli 1989,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,40.88,NA,165,40.15,NA,180,NA,NA,8.28292,NA,NA,NA,6.22E-04,0.297,0.0287,NA,NA
Gray 1982,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,423.4,NA,2592.89,320.47,NA,1267.6,NA,NA,71.4,NA,NA,NA,6.93E-04,0.64,0.044,0.64,0.044
Gray 1982,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,141.985,NA,370,79.57,NA,345.56,NA,NA,16.32122,NA,NA,NA,6.31E-04,0.53,0.11,0.53,0.11
Greenway 1976,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,876.24455,NA,99.6,452.6,NA,NA,423.4,0.794328247,NA,NA,NA,87.6,NA,NA,NA,1.8,0.14
Grier and Logan 1977,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,523.994,402.96,47462,521.59595,197.83,4823.5,2.39805,0.668,298.789,301.18705,225.1685,NA,1.12E-04,0.079,0.01159,0.079,0.01159
Grier and Logan 1977,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,451.1765,318.28,39440.8,448.77845,175.565,9309,2.39805,0.668,306.016,308.41405,145.197,NA,5.20E-05,0.0833,0.01241,0.0833,0.01241
Grier and Logan 1977,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,442.7815,332.15,32614,441.1828,170.455,9230.5,1.5987,0.446,287.182,288.7807,155.49,NA,5.10E-05,0.0834,0.01242,0.0834,0.01242
Grier and Logan 1977,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,412.012,303.68,27495.2,409.61395,168.265,28308.5,2.39805,0.668,407.194,409.59205,4.7815,NA,1.60E-05,0.0832,0.01239,0.0832,0.01239
Grier and Logan 1977,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,402.8,NA,39300.4,NA,NA,NA,2.39805,0.668,NA,NA,NA,NA,NA,NA,NA,0.0708,0.0113
Grier and Logan 1977,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,332,NA,26862.8,NA,NA,NA,1.5987,0.446,NA,NA,NA,NA,NA,NA,NA,0.0733,0.01187
Grier and Logan 1977,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,330.7995,251.12,24212.2,328.40145,150.745,11593,2.39805,0.668,272.3995,274.79755,58.4,NA,3.50E-05,0.0833,0.0124,0.0833,0.0124
Grier and Logan 1977,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,318.4,NA,32528.8,NA,NA,NA,2.39805,0.668,NA,NA,NA,NA,NA,NA,NA,0.0734,0.01188
Grier and Logan 1977,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,303.6,NA,22590.4,NA,NA,NA,2.39805,0.668,NA,NA,NA,NA,NA,NA,NA,0.0733,0.01187
Grier and Logan 1977,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,251.2,NA,20017.6,NA,NA,NA,2.39805,0.668,NA,NA,NA,NA,NA,NA,NA,0.0733,0.01186
Grodzinski et al. 1966,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,98.9807,NA,NA,97.604157,NA,NA,1.376543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gruner,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,558,NA,5500,NA,NA,NA,NA,0.837252,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gruner,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,421.2,NA,7104,NA,NA,NA,NA,0.253528,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gruner,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,388.208,NA,10644,NA,NA,NA,NA,1.477688,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gruner,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,363.404,NA,5784,NA,NA,NA,NA,2.398276,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gruner,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,298.516,NA,8232,NA,NA,NA,NA,0.210936,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gulati 1975,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,547.5,NA,8,193.45,NA,NA,354.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gulati 1975,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,146,NA,4.8,21.9,NA,NA,124.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gulati 1984,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,867.25,NA,4.7,NA,NA,NA,NA,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hackney and de la Cruz 1979,aquatic,meadows of freshwater submerged macrophytes,Saltmarsh,Marine angiosperms,679.99865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.9978,NA,NA,NA,NA,NA
Haines and Hanson 1979,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0413,1.56,0.56,NA,NA
Haines and Hanson 1979,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0111,1.33,NA,NA,NA
Haines and Hanson 1979,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0091,0.79,NA,NA,NA
Hanisack 1979,aquatic,marine macroalgal beds,Macroalgal forest,Algae,306.6,NA,126.696833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39,NA
Hanisack 1979,aquatic,marine macroalgal beds,Macroalgal forest,Algae,252.58,NA,127.675277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27,NA
Hanisack 1979,aquatic,marine macroalgal beds,Macroalgal forest,Algae,71.54,NA,34.567901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38,NA
Hansen et al. 1992,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,67.16,NA,NA,NA,NA,NA,NA,NA,16.2206,NA,NA,NA,NA,NA,NA,NA,NA
Hansen et al. 1992,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,42.9824,NA,NA,NA,NA,NA,NA,NA,5.338052,NA,NA,NA,NA,NA,NA,NA,NA
Hansen et al. 1992,aquatic,marine macroalgal beds,Macroalgal forest,Algae,549.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6,NA,NA,NA,NA,NA
Hargrave and Taguchi 1978,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,199.9835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.0115,NA,NA,NA,NA,NA
Harris et al. 1975,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,725.985,NA,8771,721.4955,NA,237,4.4895,0.101,668.972,673.4615,55.991,NA,0.002658,NA,NA,0.3389,0.0619
Harris et al. 1975,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,599.987,NA,5960,NA,NA,NA,NA,NA,NA,NA,279.9915,NA,NA,NA,NA,NA,NA
Harris et al. 1975,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,451.1,NA,8011,NA,NA,NA,4.4895,0.101,NA,NA,NA,NA,NA,NA,NA,0.3389,0.0619
Harrison 1982,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01075,NA,NA,NA,NA
Harrison 1982,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0035,1.9,NA,NA,NA
Harrison 1982,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018,4,NA,NA,NA
Harrison 1989,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0013,1.9,NA,NA,NA
Harrison 1989,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,1.8,NA,NA,NA
Harrison 1989,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.00E-04,2.8,NA,NA,NA
Harrison 1989,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017,2,NA,NA,NA
Harrison 1989,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,3,NA,NA,NA
Harrison 1989,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0085,1.8,NA,NA,NA
Harrison 1989,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,3.5,NA,NA,NA
Harrison et al. 1993,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,0.400843,NA,NA,0.097893,NA,NA,0.30295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hatcher et al. 1992,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1000.17665,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.475,27.375,NA,NA,NA,NA,NA
Haukioja and Koponen 1975,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,67.999865,NA,NA,64.439874,NA,NA,3.559991,0.042672096,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hauxwell et al. 1998; Peckol and Rivers 1996,aquatic,marine macroalgal beds,Macroalgal forest,Algae,486.67,NA,NA,359.1025,NA,NA,127.5675,NA,336.71,464.2775,22.40388,NA,0.0076,3.16,0.281,2.6,0.2356
Hauxwell et al. 2002; Hauxwell et al. 1998,aquatic,marine macroalgal beds,Macroalgal forest,Algae,206,NA,NA,NA,NA,0.111,NA,0.141,NA,NA,NA,NA,NA,NA,NA,1.93,0.35
Hauxwell et al. 2002; Hauxwell et al. 1998,aquatic,marine macroalgal beds,Macroalgal forest,Algae,89.2,NA,NA,NA,NA,NA,NA,0.162,NA,NA,NA,NA,NA,NA,NA,1.47,0.35
Hauxwell et al. 2002; Hauxwell et al. 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,158,NA,32,NA,NA,NA,NA,0.141,NA,NA,NA,NA,NA,NA,NA,1.93,0.35
Hauxwell et al. 2002; Hauxwell et al. 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,63.6,NA,12.8,NA,NA,NA,NA,0.162,NA,NA,NA,NA,NA,NA,NA,1.47,0.35
Heal 1972,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,255.5,NA,980,253.3976,NA,NA,2.1024,NA,47.085,49.1874,200.75,0.74095,2.14E-04,1.3,0.09275,1.3,0.09275
Hemminga and Buth 1991,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0079,1.12,NA,NA,NA
Hemminga and Buth 1991,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0022,0.71,NA,NA,NA
Hemminga and Buth 1991,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0256,2.54,NA,NA,NA
Hemminga and Buth 1991,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0033,0.9,NA,NA,NA
Hemminga and Buth 1991,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0093,1.29,NA,NA,NA
Hemminga and Buth 1991,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025,2.09,NA,NA,NA
Hemminga and Buth 1991,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0061,1.67,NA,NA,NA
Hemminga and Buth 1991,terrestrial,temperate and tropical shrublands and forests,Saltmarsh,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,2.09,NA,NA,NA
Hemminga and Buth 1991,terrestrial,temperate and tropical shrublands and forests,Saltmarsh,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025,2.06,NA,NA,NA
Hemminga and Buth 1991,terrestrial,temperate and tropical shrublands and forests,Saltmarsh,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0048,2.15,NA,NA,NA
Hemminga and Buth 1991,terrestrial,temperate and tropical shrublands and forests,Saltmarsh,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,1.7,NA,NA,NA
Hemminga and Nieuwenhuize 1991,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,529.25,NA,NA,453.09,NA,NA,NA,NA,448.19,NA,NA,NA,0.0124,2.64,0.55,NA,NA
Hemminga and Nieuwenhuize 1991,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023,2.76,0.5,NA,NA
Hill 1979,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0483,2.4,0.43,NA,NA
Hodges et al. 1993,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,1064.814865,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,NA,NA,NA,NA,NA,NA
Hoegh-Guldberg et al. 1987,aquatic,marine macroalgal beds,Macroalgal forest,Algae,457.7611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04745,NA,NA,NA,NA,NA
Holligan et al. 1984,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,532.8854,NA,7,NA,NA,NA,NA,NA,86.377104,NA,NA,NA,NA,NA,NA,NA,NA
Holligan et al. 1984,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,530.5275,NA,30,NA,NA,NA,NA,NA,88.994592,NA,NA,NA,NA,NA,NA,NA,NA
Holligan et al. 1984,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,122.6108,NA,0.8,NA,NA,NA,NA,NA,24.866136,NA,NA,NA,NA,NA,NA,NA,NA
Holligan et al. 1993,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,87.2423,NA,NA,NA,NA,NA,NA,NA,17.013672,NA,NA,NA,NA,NA,NA,NA,NA
Holligan et al. 1993,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,73.0949,NA,NA,NA,NA,NA,NA,NA,17.013672,NA,NA,NA,NA,NA,NA,NA,NA
Holligan et al. 1993,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,54.2317,NA,NA,49.2312,NA,NA,5.0005,NA,26.17488,31.17538,NA,NA,NA,NA,NA,NA,NA
Holligan et al. 1993,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,42.4422,NA,NA,NA,NA,NA,NA,NA,18.322416,NA,NA,NA,NA,NA,NA,NA,NA
Hopkinson et al. 1978,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,2415.506125,NA,550.4,NA,NA,NA,NA,NA,1160.7,NA,821.25,481.8,NA,NA,NA,NA,NA
Hopkinson et al. 1978,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,1267.02012,NA,301.6,1055.32012,NA,NA,211.7,NA,850.45,1062.15,160.6,54.75,NA,NA,NA,NA,NA
Hopkinson et al. 1978,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,926.35905,NA,396,NA,NA,NA,NA,NA,740.95,NA,138.7,47.45,NA,NA,NA,NA,NA
Hopkinson et al. 1978,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,598.647085,NA,259.2,NA,NA,NA,NA,NA,240.9,NA,160.6,200.75,NA,NA,NA,NA,NA
Hopkinson et al. 1978,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,539.87807,NA,323.2,NA,NA,NA,NA,NA,430.7,NA,80.3,27.01,NA,NA,NA,NA,NA
Howes et al. 1985,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,1000.06934,NA,684.4,NA,NA,NA,NA,NA,759.2,NA,131.4,113.15,NA,NA,NA,NA,NA
Hunter 1980,aquatic,freshwater benthic microalgal beds,Microphytobenthos,Algae,2.8397,NA,0.0515,0.40515,NA,NA,2.43455,NA,NA,NA,NA,NA,NA,NA,NA,3.85,NA
Iriarte et al. 1991,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,1322.7819,NA,9.1,NA,NA,NA,NA,NA,525.67884,NA,NA,NA,NA,NA,NA,5.59,0.76
Jacobs et al. 1981,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,10.95,NA,NA,10.439,NA,NA,0.511,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.202579
Jacobs et al. 1981,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,1.5914,NA,0.48,1.0585,NA,NA,0.5329,NA,NA,NA,NA,0.5475,NA,NA,NA,NA,NA
Jacoby 1987,aquatic,freshwater benthic microalgal beds,Microphytobenthos,Algae,132.00955,NA,0.875,29.80955,NA,NA,102.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jansson et al. 1984,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,201.721,NA,1.706048,NA,NA,NA,NA,0.393635,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jensen and Schwaerter 1988,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,840.96,NA,7.6,578.16,NA,NA,262.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jensen et al. 1990,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,1157.7289,NA,NA,NA,NA,NA,NA,NA,346.071903,NA,NA,NA,NA,NA,NA,5.49,0.81
Jespersen et al. 1988,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,218.635,NA,6.9,89.06,NA,0.4,102.93,2,NA,NA,NA,NA,NA,NA,NA,4.6,0.34
